datetime,TMP,RH,WS,WD
2023-10-01 00:00:00,5.8,84.0,6.9,267.0
2023-10-01 01:00:00,5.2,86.7,6.7,290.0
2023-10-01 02:00:00,4.8,89.2,8.5,278.0
2023-10-01 03:00:00,4.8,89.6,11.0,315.0
2023-10-01 04:00:00,5.2,84.8,7.8,320.0
2023-10-01 05:00:00,5.0,84.6,8.1,291.0
2023-10-01 06:00:00,5.0,81.6,7.0,313.0
2023-10-01 07:00:00,5.1,84.2,6.3,314.0
2023-10-01 08:00:00,8.5,66.6,7.6,0.0
2023-10-01 09:00:00,10.5,56.7,8.4,353.0
2023-10-01 10:00:00,12.0,52.0,13.3,348.0
2023-10-01 11:00:00,12.1,52.9,16.5,284.0
2023-10-01 12:00:00,12.3,52.8,14.5,296.0
2023-10-01 13:00:00,12.2,53.7,13.6,359.0
2023-10-01 14:00:00,12.2,54.2,15.2,336.0
2023-10-01 15:00:00,12.2,54.8,19.4,319.0
2023-10-01 16:00:00,11.8,55.4,15.4,299.0
2023-10-01 17:00:00,11.1,56.8,13.0,281.0
2023-10-01 18:00:00,10.0,61.1,11.7,345.0
2023-10-01 19:00:00,9.2,64.3,9.1,282.0
2023-10-01 20:00:00,8.4,68.7,9.7,308.0
2023-10-01 21:00:00,7.7,72.9,11.1,285.0
2023-10-01 22:00:00,7.2,75.2,8.7,285.0
2023-10-01 23:00:00,7.0,76.0,10.0,271.0
2023-10-02 00:00:00,6.7,77.0,11.8,266.0
2023-10-02 01:00:00,6.1,80.6,8.6,263.0
2023-10-02 02:00:00,6.2,79.6,11.0,260.0
2023-10-02 03:00:00,6.2,79.8,10.3,323.0
2023-10-02 04:00:00,5.9,80.4,8.3,285.0
2023-10-02 05:00:00,5.5,81.7,8.5,239.0
2023-10-02 06:00:00,5.0,83.7,9.6,257.0
2023-10-02 07:00:00,5.2,82.7,8.3,330.0
2023-10-02 08:00:00,6.2,78.0,8.1,239.0
2023-10-02 09:00:00,7.8,71.2,8.3,267.0
2023-10-02 10:00:00,9.4,63.6,11.3,306.0
2023-10-02 11:00:00,11.8,51.6,10.4,298.0
2023-10-02 12:00:00,13.2,42.6,13.5,233.0
2023-10-02 13:00:00,13.5,40.8,16.6,153.0
2023-10-02 14:00:00,14.0,37.2,21.7,283.0
2023-10-02 15:00:00,14.0,35.7,21.6,290.0
2023-10-02 16:00:00,13.7,35.8,17.5,276.0
2023-10-02 17:00:00,12.3,42.5,14.3,274.0
2023-10-02 18:00:00,10.9,48.3,7.7,260.0
2023-10-02 19:00:00,9.3,56.7,7.1,282.0
2023-10-02 20:00:00,7.6,64.1,6.0,302.0
2023-10-02 21:00:00,5.7,73.0,5.6,319.0
2023-10-02 22:00:00,5.2,74.7,9.5,304.0
2023-10-02 23:00:00,4.2,79.8,8.5,283.0
2023-10-03 00:00:00,2.8,87.1,5.3,304.0
2023-10-03 01:00:00,2.2,89.5,5.5,299.0
2023-10-03 02:00:00,1.4,92.8,5.8,233.0
2023-10-03 03:00:00,1.1,94.4,6.1,312.0
2023-10-03 04:00:00,0.5,95.9,6.9,293.0
2023-10-03 05:00:00,0.0,96.7,6.0,299.0
2023-10-03 06:00:00,-0.3,97.4,6.0,253.0
2023-10-03 07:00:00,1.1,94.3,8.3,307.0
2023-10-03 08:00:00,3.8,83.4,9.1,312.0
2023-10-03 09:00:00,6.8,67.8,9.1,300.0
2023-10-03 10:00:00,8.9,56.6,10.8,295.0
2023-10-03 11:00:00,11.1,46.3,9.6,307.0
2023-10-03 12:00:00,12.6,40.9,8.6,285.0
2023-10-03 13:00:00,13.4,38.0,10.8,149.0
2023-10-03 14:00:00,14.2,35.5,12.1,132.0
2023-10-03 15:00:00,13.7,35.5,12.4,29.0
2023-10-03 16:00:00,13.8,36.2,14.5,323.0
2023-10-03 17:00:00,13.4,37.7,15.8,311.0
2023-10-03 18:00:00,12.0,42.7,10.1,271.0
2023-10-03 19:00:00,10.4,51.1,9.7,270.0
2023-10-03 20:00:00,9.6,54.1,8.2,283.0
2023-10-03 21:00:00,8.4,58.4,7.7,201.0
2023-10-03 22:00:00,5.7,73.7,6.7,310.0
