nombre,lat,lon,altura,region,red de datos,codigo DMC
Carriel Sur,-36.78055,-73.06639,13,BioBio,DMC,360019
Liceo Agricola El Huerton,-37.45694,-72.275,173,BioBio,DMC,370036
Aerodromo Gral Bernardo Ohiggins,-36.58583,-72.03667,155,Ñuble,DMC,360011
Termas de Chillan,-36.90361,-71.41,1708,Ñuble,DMC,360042
Husares,-37.79583,-72.68444,69,Araucania,DMC,370067
Regimiento Victoria,-38.22889,-72.34333,336,Araucania,DMC,380063
Aerodromo Maquehue,-38.76778,-72.63194,86,Araucania,DMC,380013
Aeropuerto Araucania,-38.93444,-72.65333,96,Araucania,DMC,380029
Villarrica,-39.19,-72.11222,393,Araucania,DMC,390028
Pudahuel,-33.37833,-70.78778,482,Metropolitana,DMC,330021
Aerodromo Rodelillo,-33.06528,-71.55639,330,Valparaiso,DMC,330007
Quinta Normal,-33.445,-70.68278,520,Metropolitana,DMC,330020
Aerodromo Santo Domingo,-33.65611,-71.61333,77,Valparaiso,DMC,330030
Aerodromo Curacavi,-33.41111,-71.16778,208,Metropolitana,DMC,330121
Aerodromo Torquemada,-32.94944,-71.47611,141,Valparaiso,DMC,320041
Cerro San Francisco,-33.45806,-70.94861,1068,Metropolitana,DMC,330111
Catapilco,-32.57,-71.30555,85,Valparaiso,DMC,320015
Aeropuerto Pichoy,-39.65,-73.08,21,Los Rios,DMC,
Corral,-39.88,-73.43,13,Los Rios,DMC,
Adolfo Matthei,-40.59,-73.11,53,Los Rios,DMC,
Aerodromo de Futaleufu,-43.18,-71.85,347,Los Lagos,DMC,
Aerodromo de Quellon,-43.13,-73.63,13,Los Lagos,DMC,
Aeropuerto El Tepual,-41.423,-73.09,85,Los Lagos,DMC,
Aeropuerto Pichoy,-39.65,-73.08,21,Los Rios,INIA,
Corral,-39.88,-73.13,13,Los Rios,DMC,
El Cardal,-40.38,-72.91,80,Los Rios,INIA,
Escuela Mirasol,-41.47,-72.96,100,Los Lagos,DMC,
Lago Verde,-40.16,-72.62,248,Los Rios,INIA,
Las Lomas,-39.7,-73.01,22,Los Rios,DMC,
Nueva Chaiten,-42.78,-72.83,10,Los Lagos,DMC,
Palermo,-40.25,-73.1,78,Los Rios,INIA,
Panguipulli,-39.63,-72.34,229,Los Rios,DMC,
Puerto Varas,-41.32,-72.97,70,Los Lagos,DMC,
Quilacahuin,-40.34,-73.3,17,Los Rios,INIA,
Rucatayo,-40.59,-72.58,278,Los Rios,INIA,
Santa Carla,-39.67,-72.61,264,Los Rios,DMC,
